delta_g_pb
-27.5762000000009
-23.00510000000125
-25.270400000000134
-23.414699999999833
-27.462800000001373
-21.51259999999943
-24.906900000000633
-21.652700000000692
-19.895699999999877
-24.543000000000287
-30.23670000000006
-23.724399999999086
-33.524100000000736
-26.04909999999985
-25.374399999999497
-21.762099999998846
-27.836100000001128
-23.91539999999901
-28.404000000000032
-27.720300000000275
-26.870800000000553
