delta_g_gb
-39.87922343999905
-38.97835400000047
-36.346623600001
-36.941943760000164
-42.056803839999155
-40.99425311999936
-39.81376336000038
-39.93137735999949
-40.42574527999972
-34.822142080001264
-40.918865359998726
-40.29902839999975
-40.821816399999896
-40.04696152000096
-39.40717767999931
-38.317387520001034
-40.74363879999859
-41.86677648000059
-42.782040079999334
-40.59477623999905
-38.72207879999963
