delta_g_gb
-33.12396272000048
-35.82437296000005
-39.698576239998715
-41.775662720000085
-41.17049223999953
-38.69810280000027
-40.36283535999887
-42.173058319999214
-39.1096706400008
-37.5991489600009
-34.54996112000087
-40.81539263999885
-35.252071039998675
-35.92437528000035
-37.57068400000078
-37.305327439999544
-38.137780239999714
-39.67443559999984
-36.93782248000062
-32.11866999999984
-34.2891355200005
