delta_g_pb
-17.500700000000386
-26.914900000000056
-26.646599999998934
-29.59070000000011
-29.225899999999083
-27.18999999999998
-26.154799999998737
-25.699199999999117
-27.40070000000098
-27.097900000001
-22.914700000001073
-28.021999999998773
-26.25399999999863
-23.562500000000217
-28.369000000000575
-27.128299999999598
-28.59059999999976
-28.98169999999981
-27.72310000000081
-24.385099999999873
-24.948000000000363
