delta_g_pb
-25.39460000000033
-29.46230000000061
-28.725900000000458
-29.148299999998365
-27.976599999999635
-28.799699999999614
-28.449299999999685
-26.882000000000406
-27.014700000000573
-29.105000000000132
-25.382400000000082
-25.316699999999145
-25.85289999999989
-22.704899999999697
-25.752599999999376
-26.98049999999945
-23.61699999999909
-29.035499999999683
-29.394299999999483
-24.868500000000402
-27.955699999999755
