delta_g_gb
-36.32093391999987
-42.203538799999045
-39.263066719999514
-40.80889103999993
-38.9354284799995
-34.43317816000067
-33.96880088000013
-30.993424400001167
-37.07629503999924
-40.46882848000081
-40.24945671999971
-39.8865540000008
-38.052946160000396
-39.2864064000003
-39.19996039999976
-37.89525599999948
-39.95549672000009
-36.45228720000061
-37.543990480000105
-37.076134800000155
-38.37127080000052
