delta_g_pb
-23.923799999999865
-27.630899999998903
-25.764499999999323
-28.859500000000093
-26.11329999999967
-23.514500000000734
-21.8101000000004
-19.71800000000122
-24.21269999999926
-26.819700000000907
-28.25779999999994
-23.39140000000107
-19.407700000000457
-26.252200000000002
-24.152300000000107
-25.906599999999674
-23.378799999999977
-25.278800000000565
-20.956900000000253
-24.9148000000003
-26.56480000000075
