Cc1cccc2[nH]c(C=O)cc12	ZINCcs0000000KpG,0.41379310344827586
CC(=O)c1cc2ccccc2[nH]1	ZINCct0000000KFb,0.41379310344827586
Cc1[nH]c2ccc(N)cc2c1C	ZINCct0000000KRv,0.41379310344827586
OCc1cc2cc(Cl)ccc2[nH]1	ZINCct0000000L5u,0.41379310344827586
OCc1cc2ccc(Cl)cc2[nH]1	ZINCct0000000L5v,0.4642857142857143
CC(=O)c1c[nH]c2ccccc12	ZINCct0000000KEW,0.41379310344827586
Cc1[nH]c2c(N)cccc2c1C	ZINCct0000000KRu,0.41379310344827586
Cc1[nH]c2ccccc2c1C#N	ZINCct0000000KRw,0.41379310344827586
Cc1c(C#N)[nH]c2ccccc12	ZINCct0000000KRC,0.41379310344827586
OCc1cc2c(Cl)cccc2[nH]1	ZINCct0000000L5t,0.41379310344827586
O=C(Cl)c1cc2ccccc2[nH]1	ZINCcv0000000LZO,0.41379310344827586
O=Cc1[nH]c2ccccc2c1I	ZINCcv0000000M1J,0.41379310344827586
C[C@H]1[C@H](C)c2ccccc2N1C	ZINCcw0000000gT6,0.41379310344827586
C[C@H]1c2ccccc2N(C)[C@@H]1C	ZINCcw0000000gT7,0.41379310344827586
C[C@H]1c2ccccc2N(C)[C@H]1C	ZINCcw0000000gT8,0.41379310344827586
N#Cc1c[nH]c2cc(Cl)ccc12	ZINCcw0000000MoY,0.41379310344827586
O=Cc1[nH]c2ccccc2c1Cl	ZINCcw0000000Msb,0.41379310344827586
O=Cc1c[nH]c2cc(Cl)ccc12	ZINCcw0000000Msi,0.41379310344827586
O=Cc1cc2cc(Cl)ccc2[nH]1	ZINCcw0000000Msp,0.41379310344827586
C[C@@H]1c2ccccc2N(C)[C@@H]1C	ZINCcw0000000gNe,0.41379310344827586
O=Cc1cc2c(Cl)cccc2[nH]1	ZINCcw0000000Mso,0.41379310344827586
O=Cc1cc2ccc(Cl)cc2[nH]1	ZINCcw0000000Msq,0.4642857142857143
C[C@H]1Nc2ccccc2C1(C)C	ZINCcx0000000MGC,0.41379310344827586
O=Cc1cc2c(Br)cccc2[nH]1	ZINCcx0000000MPw,0.41379310344827586
O=Cc1cc2cc(Br)ccc2[nH]1	ZINCcx0000000MPz,0.41379310344827586
O=Cc1cc2ccc(Br)cc2[nH]1	ZINCcx0000000MPA,0.41379310344827586
C[C@@H]1Nc2ccccc2C1(C)C	ZINCcx0000000MFP,0.41379310344827586
O=Cc1cc2cccc(Br)c2[nH]1	ZINCcx0000000MPB,0.41379310344827586
C=CCc1c[nH]c2ccccc12	ZINCcy0000000MT6,0.41379310344827586
CC(C)[C@@H]1CNc2ccccc21	ZINCcy0000000MVb,0.41379310344827586
CCc1c[nH]c2ccc(F)cc12	ZINCcy0000000MYu,0.41379310344827586
CC(C)[C@H]1CNc2ccccc21	ZINCcy0000000MVf,0.41379310344827586
CCc1c[nH]c2c(F)cccc12	ZINCcy0000000MYs,0.41379310344827586
CCc1c[nH]c2cc(F)ccc12	ZINCcy0000000MYt,0.41379310344827586
CCc1c[nH]c2cccc(F)c12	ZINCcy0000000MYv,0.41379310344827586
CC[C@@H]1c2ccccc2N[C@H]1C	ZINCcz0000000Nk2,0.4642857142857143
CC[C@H]1c2ccccc2N[C@@H]1C	ZINCcz0000000Nkp,0.4642857142857143
Cc1cccc2c1N[C@@H](C)[C@H]2C	ZINCcz0000000Npf,0.41379310344827586
CC[C@@H]1c2ccccc2N[C@@H]1C	ZINCcz0000000Nk1,0.4642857142857143
CC[C@H]1c2ccccc2N[C@H]1C	ZINCcz0000000Nkq,0.4642857142857143
Cc1[nH]c2ccc(F)cc2c1C	ZINCcz0000000NnC,0.41379310344827586
Cc1cccc2c1N[C@@H](C)[C@@H]2C	ZINCcz0000000Npe,0.41379310344827586
Cc1cccc2c1N[C@H](C)[C@@H]2C	ZINCcz0000000Npg,0.41379310344827586
Cc1cccc2c1N[C@H](C)[C@H]2C	ZINCcz0000000Nph,0.41379310344827586
ClCCc1c[nH]c2ccccc12	ZINCcz0000000NpL,0.41379310344827586
CC1(C)CNc2cc(Cl)ccc21	ZINCcA0000000NzA,0.41379310344827586
CCc1[nH]c2ccccc2c1C	ZINCcA0000000NCr,0.41379310344827586
CCc1c(C)[nH]c2ccccc12	ZINCcA0000000NCs,0.4642857142857143
Cc1[nH]c2c(C)cccc2c1C	ZINCcA0000000NEX,0.41379310344827586
CCCOc1cc(C)cc(C)c1	ZINCcA0000000kAZ,0.42857142857142855
Cc1ccc2[nH]c(C)c(C)c2c1	ZINCcA0000000NGc,0.41379310344827586
BrCCc1c[nH]c2ccccc12	ZINCcB0000000NNR,0.41379310344827586
