delta_g_gb
-38.282714640001196
-38.25703024000013
-42.53426495999937
-44.63017984000122
-37.99747919999963
-41.01012799999877
-38.74561087999945
-42.4248184799998
-37.11556943999938
-40.18621711999899
-36.37136560000066
-42.29779911999883
-42.69793167999869
-36.69662472000043
-36.155054960000115
-42.392067040000015
-37.40290359999986
-43.188562720001
-40.84689680000013
-37.35981735999962
-41.500256399999316
