delta_g_pb
-25.67170000000111
-27.234200000000328
-31.701099999999457
-29.6166000000011
-23.624699999999713
-26.275999999998938
-27.399999999999785
-26.644500000000058
-23.854699999999248
-23.766899999998877
-21.482500000000094
-28.072699999998697
-28.521499999999136
-22.457100000000473
-21.16730000000011
-28.654600000000038
-21.15459999999978
-27.59800000000098
-27.901100000000206
-22.22119999999953
-25.279899999999508
