delta_g_pb
-21.204600000000774
-25.584500000000443
-26.721900000000375
-27.59949999999978
-32.26660000000033
-26.3585000000014
-25.235199999999764
-25.40299999999939
-24.712899999999784
-22.1861999999993
-18.97219999999951
-24.974800000000247
-25.753500000000372
-30.52789999999921
-25.944499999998737
-18.48400000000019
-26.12479999999978
-20.792799999999012
-23.151199999999484
-26.37589999999976
-21.100300000000033
