delta_g_gb
-38.45425671999882
-34.51124967999999
-34.49598336
-40.26439000000141
-37.32735391999974
-38.7152413600004
-40.67623272000063
-37.71445384000005
-36.0913684000011
-38.57194295999904
-38.20901680000005
-35.64634599999988
-39.68114360000123
-38.60554616000096
-42.237291279999944
-38.33035039999898
-37.54745847999987
-38.12033664000054
-40.14206696000076
-39.438998479999604
-38.362738080000675
