delta_g_gb
-42.242290719999545
-41.23925936000107
-40.08190160000068
-33.76526279999851
-36.06192431999918
-42.503593119999735
-39.3075848
-38.01351967999894
-39.73727944000093
-38.26807552000119
-42.81375303999981
-40.23713591999957
-36.56321712000079
-40.26233056000038
-41.91914760000044
-40.349898400000406
-41.56815728000008
-44.72211615999998
-44.766539520000535
-39.42494168000084
-37.76027847999951
