delta_g_gb
-42.096311039999335
-41.88295751999925
-42.79841848000021
-41.448134239999305
-38.392892800001434
-39.95253168000146
-39.209514879999816
-38.87401623999923
-37.95018232000049
-43.207174559999864
-41.30703655999977
-43.451071920000295
-42.99280688000019
-39.50325727999974
-45.13387832000099
-41.169923200000284
-43.14851432000026
-44.24038127999988
-43.53629063999969
-38.49611375999969
-41.45813839999979
