delta_g_pb
-28.779599999999093
-31.125799999999465
-28.479300000000386
-28.96099999999922
-23.855800000001306
-28.427900000001213
-26.336699999999787
-27.466999999999135
-28.158300000000274
-31.85629999999989
-27.5778999999997
-30.655700000000348
-32.69210000000009
-27.7937000000001
-32.50800000000087
-29.555900000000292
-30.20610000000039
-32.47209999999961
-31.663199999999776
-28.014899999999788
-29.77919999999975
