delta_g_gb
-39.37754759999885
-35.57454039999982
-41.80177496000001
-44.97017119999979
-40.91568511999958
-40.8803342399995
-39.37439752000005
-43.02163415999899
-41.364916239998614
-36.14497751999864
-40.794516159998395
-38.0725884000007
-41.90249639999971
-40.02742688000035
-38.888392160000606
-42.828329679999186
-40.243842159999005
-42.08121608000003
-42.46334728000119
-40.25725832000015
-39.96037287999924
