delta_g_pb
-27.49629999999871
-24.49679999999982
-28.077500000000445
-31.854699999999525
-26.015299999999854
-27.5625999999993
-25.69400000000006
-27.219899999999242
-26.29309999999854
-26.821199999998655
-24.57729999999839
-24.60110000000078
-28.31359999999942
-28.330200000000044
-29.548000000000542
-28.44679999999929
-27.972699999998646
-29.630400000000062
-30.409300000001252
-26.9540000000001
-25.339199999999476
