delta_g_gb
-40.25103952000085
-41.25174791999973
-36.826379919999795
-43.998643120000075
-42.91521832000089
-36.47563544000007
-41.77221624000046
-37.54347095999993
-38.765748079999696
-36.99600536000096
-37.75266552000059
-39.91335951999951
-37.43607280000015
-43.98152760000105
-38.014759359999765
-39.106312480000405
-38.514514880001066
-38.949983359999486
-35.54591344000113
-41.189549279999746
-37.66510927999966
